kkz;m07_2011
09775 ;3,4 
09776 ;2,6 
09777 ;2,9 
09778 ;2,1 
09779 ;2,4 
09780 ;2,9 
;
10041 ;10,6 
10042 ;5,3 
10043 ;7,7 
10044 ;6,3 
10045 ;5,9 
10046 ;4,3 
;
11000 ;15,8 
;
12051 ;15,9 
12052 ;14,7 
12053 ;15,3 
12054 ;8,6 
12060 ;11,4 
12061 ;8,0 
12062 ;15,3 
12063 ;10,3 
12064 ;11,6 
12065 ;10,4 
12066 ;16,3 
12067 ;10,8 
12068 ;13,0 
12069 ;7,8 
12070 ;16,2 
12071 ;11,2 
12072 ;8,8 
12073 ;18,3 
;
13001 ;12,8 
13002 ;16,5 
13003 ;14,0 
13004 ;13,9 
13005 ;16,8 
13006 ;16,6 
13051 ;8,7 
13052 ;18,5 
13053 ;13,7 
13054 ;8,9 
13055 ;14,7 
13056 ;12,1 
13057 ;13,2 
13058 ;10,3 
13059 ;12,2 
13060 ;11,4 
13061 ;8,9 
13062 ;17,7 
;
14511 ;12,7 
14521 ;10,0 
14522 ;9,6 
14523 ;10,0 
14524 ;10,1 
;
14612 ;10,9 
14625 ;10,9 
14626 ;13,5 
14627 ;11,2 
14628 ;9,9 
;
14713 ;14,8 
14729 ;11,3 
14730 ;13,1 
;
15001 ;13,4 
15002 ;13,0 
15003 ;12,4 
15081 ;9,6 
15082 ;13,5 
15083 ;8,5 
15084 ;14,0 
15085 ;11,2 
15086 ;10,7 
15087 ;15,5 
15088 ;10,8 
15089 ;12,7 
15090 ;14,6 
15091 ;11,5 
;
16051 ;11,2 
16052 ;13,7 
16053 ;7,8 
16054 ;8,8 
16055 ;10,7 
16056 ;10,0 
16061 ;7,3 
16062 ;11,1 
16063 ;6,4 
16064 ;12,8 
16065 ;14,2 
16066 ;6,9 
16067 ;8,8 
16068 ;11,2 
16069 ;6,3 
16070 ;9,9 
16071 ;7,8 
16072 ;5,3 
16073 ;8,9 
16074 ;8,1 
16075 ;7,5 
16076 ;9,7 
16077 ;12,8 
